1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
598	-1.324707	196.477894	0.014893	8.8
599	-1.230647	196.309436	0.009103	11.6
600	-0.797468	196.141363	0.012814	9.9
601	-1.511035	195.973673	0.012375	9.3
602	-1.484566	195.806365	0.015694	9.6
603	-1.693750	195.639437	0.018555	8.5
604	-1.547148	195.472888	0.015450	9.0
605	-0.952481	195.306717	0.005480	9.5
606	-1.020504	195.140922	0.013336	10.6
607	-0.675019	194.975501	0.014945	9.8
608	-1.016894	194.810454	0.009829	9.8
609	-0.963124	194.645779	0.008961	9.4
610	-0.589799	194.481475	0.016220	8.6
611	-1.632121	194.317540	0.014030	12.9
612	-1.000060	194.153973	0.005423	8.0
613	-0.587835	193.990773	0.007812	8.3
614	-1.432576	193.827938	0.012211	7.8
615	-1.574859	193.665467	0.014605	10.3
616	-0.539835	193.503358	0.004521	8.0
617	-1.403330	193.341611	0.019555	9.5
618	-1.522984	193.180224	0.010713	8.5
619	-1.747345	193.019196	0.011376	8.1
620	-1.724791	192.858525	0.008338	13.2
621	-1.537767	192.698210	0.024625	8.1
622	-1.621393	192.538251	0.017439	9.0
